code,name,category,brand,model,unit,currency_code,sale_price,stock_quantity,minimum_stock,vat_rate,lead_time,description,technical_summary,is_active
ML6425B3021,CREVAL 230V SPRING RET.REV.ACT,Genel,Honeywell,ML6425B3021,adet,USDTRY,1280.00,0,0,20,,CREVAL 230V SPRING RET.REV.ACT,Grup: Field Devices | Menşei: HU | Durum: Active,true
ML6435B1008,EL.ACTUATOR 400N,Actuators,Honeywell,ML6435B1008,adet,USDTRY,435.00,0,0,20,,EL.ACTUATOR 400N,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML6435B1016,VALVE ACTUATOR 400N,Genel,Honeywell,ML6435B1016,adet,USDTRY,431.39,0,0,20,,VALVE ACTUATOR 400N,Grup: Field Devices | Menşei: HU | Durum: Active,true
ML6984A4000/U,VALVE ACTUATOR DIGITAL INTERFACE,Actuators,Honeywell,ML6984A4000/U,adet,USDTRY,386.80,0,0,20,,VALVE ACTUATOR DIGITAL INTERFACE,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: MX | Durum: Active,true
ML711CPA,"Small linear actuator, Salina G2, analog",Genel,Honeywell,ML711CPA,adet,USDTRY,107.13,0,0,20,,"Small linear actuator, Salina G2, analog",Grup: Field Devices | Menşei: DE | Durum: Active,true
ML711CPA-N,"Small linear actuator, Salina G2, analog",Genel,Honeywell,ML711CPA-N,adet,USDTRY,96.40,0,0,20,,"Small linear actuator, Salina G2, analog",Grup: Field Devices | Menşei: DE | Durum: Active,true
ML712CPA,"Small linear actuator, Salina G2, analog",Genel,Honeywell,ML712CPA,adet,USDTRY,107.13,0,0,20,,"Small linear actuator, Salina G2, analog",Grup: Field Devices | Menşei: DE | Durum: Active,true
ML712CPA-N,"Small linear actuator, Salina G2, analog",Genel,Honeywell,ML712CPA-N,adet,USDTRY,96.40,0,0,20,,"Small linear actuator, Salina G2, analog",Grup: Field Devices | Menşei: DE | Durum: Active,true
ML713CPA,"Small linear actuator, Salina G2, analog",Genel,Honeywell,ML713CPA,adet,USDTRY,107.13,0,0,20,,"Small linear actuator, Salina G2, analog",Grup: Field Devices | Menşei: DE | Durum: Active,true
ML713CPA-N,"Small linear actuator, Salina G2, analog",Genel,Honeywell,ML713CPA-N,adet,USDTRY,96.40,0,0,20,,"Small linear actuator, Salina G2, analog",Grup: Field Devices | Menşei: DE | Durum: Active,true
ML7420A3055,VALVE ACTUATOR,Actuators,Honeywell,ML7420A3055,adet,USDTRY,964.41,0,0,20,,VALVE ACTUATOR,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML7420A3063,"DCVA,NSR,30 SEC.TIMING, 3/4",Actuators,Honeywell,ML7420A3063,adet,USDTRY,1050.00,0,0,20,,"DCVA,NSR,30 SEC.TIMING, 3/4",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML7420A6009,"ACT,0-10V,20MM,60S,600N,24VAC,F-POS,HAND",Actuators,Honeywell,ML7420A6009,adet,USDTRY,674.05,0,0,20,,"ACT,0-10V,20MM,60S,600N,24VAC,F-POS,HAND",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML7420A6009T,TR LLA 600N 24VAC 0-10V NSR 60S 20MM MAN,Actuators,Honeywell,ML7420A6009T,adet,USDTRY,427.24,0,0,20,,TR LLA 600N 24VAC 0-10V NSR 60S 20MM MAN,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML7420A6017,ACTUATOR 600N 24VAC 30SEC PNSR,Actuators,Honeywell,ML7420A6017,adet,USDTRY,1000.00,0,0,20,,ACTUATOR 600N 24VAC 30SEC PNSR,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML7420A6025,"CREVAL MOD, 60S, 600N, 24V AC, IP54",Actuators,Honeywell,ML7420A6025,adet,USDTRY,580.72,0,0,20,,"CREVAL MOD, 60S, 600N, 24V AC, IP54",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML7420A6025T,TR LLA 600N 24VAC 0-10V NSR 60S  20MM,Genel,Honeywell,ML7420A6025T,adet,USDTRY,790.00,0,0,20,,TR LLA 600N 24VAC 0-10V NSR 60S  20MM,Grup: Field Devices | Menşei: HU | Durum: Active,true
ML7420A8088-E,"Linear act. modulating, 600N, 20mm",Actuators,Honeywell,ML7420A8088-E,adet,USDTRY,312.14,0,0,20,,"Linear act. modulating, 600N, 20mm",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: CN | Durum: Active,true
ML7420A8088-SBU,"Kombi-9 multi-function actuator,600N",Actuators,Honeywell,ML7420A8088-SBU,adet,USDTRY,684.42,0,0,20,,"Kombi-9 multi-function actuator,600N",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: CN | Durum: Active,true
ML7421A1032,ELECTRIC LINEAR VALVE ACTUATOR,Genel,Honeywell,ML7421A1032,adet,USDTRY,1420.69,0,0,20,,ELECTRIC LINEAR VALVE ACTUATOR,Grup: Field Devices | Menşei: HU | Durum: Active,true
ML7421A3004,VALVE ACTUATOR PROP.24 VAC,Actuators,Honeywell,ML7421A3004,adet,USDTRY,1110.00,0,0,20,,VALVE ACTUATOR PROP.24 VAC,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML7421A8035-E,"Linear act. modulating, 1800N, 20mm",Actuators,Honeywell,ML7421A8035-E,adet,USDTRY,570.35,0,0,20,,"Linear act. modulating, 1800N, 20mm",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: CN | Durum: Active,true
ML7421B1023,180N CORELLA USA/ACTUATOR,Actuators,Honeywell,ML7421B1023,adet,USDTRY,1420.69,0,0,20,,180N CORELLA USA/ACTUATOR,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML7421B3003,VALVE ACTUATOR PROP.24 VAC,Actuators,Honeywell,ML7421B3003,adet,USDTRY,1130.33,0,0,20,,VALVE ACTUATOR PROP.24 VAC,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML7421B8012-E,"Linear act. modulating, 1800N, 40mm",Actuators,Honeywell,ML7421B8012-E,adet,USDTRY,550.00,0,0,20,,"Linear act. modulating, 1800N, 40mm",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: CN | Durum: Active,true
ML7421B8012-SBU,"Kombi-9 Actuator, 1800N, 38mm Stroke",Actuators,Honeywell,ML7421B8012-SBU,adet,USDTRY,891.82,0,0,20,,"Kombi-9 Actuator, 1800N, 38mm Stroke",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: CN | Durum: Active,true
ML7425A6008,"CREVAL MOD, 108S, SR-EXT.  ( DRAWING 500",Actuators,Honeywell,ML7425A6008,adet,USDTRY,1161.44,0,0,20,,"CREVAL MOD, 108S, SR-EXT.  ( DRAWING 500",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML7425A6024,actuator 24 VAC without TUEV approval,Actuators,Honeywell,ML7425A6024,adet,USDTRY,1250.00,0,0,20,,actuator 24 VAC without TUEV approval,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML7425A6024T,TREND LARGE LINEAR ACTUATOR 600N 24VAC M,Actuators,Honeywell,ML7425A6024T,adet,USDTRY,1300.76,0,0,20,,TREND LARGE LINEAR ACTUATOR 600N 24VAC M,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML7425A8018-E,"Linear act. modulating, 600N, 20mm, SR",Actuators,Honeywell,ML7425A8018-E,adet,USDTRY,580.72,0,0,20,,"Linear act. modulating, 600N, 20mm, SR",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: CN | Durum: Active,true
ML7425B3012,EDC ACTUATOR USA REV.,Actuators,Honeywell,ML7425B3012,adet,USDTRY,1520.00,0,0,20,,EDC ACTUATOR USA REV.,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
ML7425B6007,"CREVAL MOD, 108S, SR-RET.  ( DRAWING 500",Actuators,Honeywell,ML7425B6007,adet,USDTRY,1462.17,0,0,20,,"CREVAL MOD, 108S, SR-RET.  ( DRAWING 500",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
